sk_respondente,respondente_id,publico,carimbo,fonte_arquivo
84,84,contratante,2026-03-26 08:27:09.513,pesquisa-contratante.xlsx
85,85,contratante,2026-03-26 09:05:18.008,pesquisa-contratante.xlsx
86,86,contratante,2026-03-26 09:17:41.568,pesquisa-contratante.xlsx
87,87,contratante,2026-03-26 09:59:48.158,pesquisa-contratante.xlsx
88,88,contratante,2026-03-26 10:06:46.324,pesquisa-contratante.xlsx
89,89,contratante,2026-03-26 11:45:11.218,pesquisa-contratante.xlsx
90,90,contratante,2026-03-26 11:55:05.102,pesquisa-contratante.xlsx
91,91,contratante,2026-03-26 12:11:19.281,pesquisa-contratante.xlsx
92,92,contratante,2026-03-26 12:38:34.758,pesquisa-contratante.xlsx
93,93,contratante,2026-03-26 12:54:53.135,pesquisa-contratante.xlsx
94,94,contratante,2026-03-26 13:06:54.424,pesquisa-contratante.xlsx
95,95,contratante,2026-03-26 13:53:06.043,pesquisa-contratante.xlsx
96,96,contratante,2026-03-27 07:26:35.537,pesquisa-contratante.xlsx
97,97,contratante,2026-03-27 07:33:30.311,pesquisa-contratante.xlsx
98,98,contratante,2026-03-27 08:33:34.182,pesquisa-contratante.xlsx
99,99,contratante,2026-03-27 13:12:56.690,pesquisa-contratante.xlsx
100,100,contratante,2026-03-27 15:50:37.724,pesquisa-contratante.xlsx
101,101,contratante,2026-03-27 15:58:33.219,pesquisa-contratante.xlsx
102,102,contratante,2026-03-27 16:23:54.250,pesquisa-contratante.xlsx
103,103,contratante,2026-03-27 17:29:04.885,pesquisa-contratante.xlsx
104,104,contratante,2026-03-27 21:15:29.831,pesquisa-contratante.xlsx
105,105,contratante,2026-03-29 18:47:48.660,pesquisa-contratante.xlsx
106,106,contratante,2026-03-30 13:16:11.572,pesquisa-contratante.xlsx
107,1,diarista,2026-03-24 19:27:38.431,pesquisa-diaristas.xlsx
108,2,diarista,2026-03-24 19:41:03.979,pesquisa-diaristas.xlsx
109,3,diarista,2026-03-24 20:04:07.461,pesquisa-diaristas.xlsx
110,4,diarista,2026-03-25 13:38:54.909,pesquisa-diaristas.xlsx
111,5,diarista,2026-03-25 14:16:00.306,pesquisa-diaristas.xlsx
112,6,diarista,2026-03-25 14:18:16.907,pesquisa-diaristas.xlsx
113,7,diarista,2026-03-25 20:59:45.105,pesquisa-diaristas.xlsx
114,8,diarista,2026-03-26 09:12:33.191,pesquisa-diaristas.xlsx
115,9,diarista,2026-03-26 11:58:05.444,pesquisa-diaristas.xlsx
116,10,diarista,2026-03-27 20:16:44.565,pesquisa-diaristas.xlsx
117,11,diarista,2026-03-27 20:26:05.482,pesquisa-diaristas.xlsx
118,12,diarista,2026-03-27 20:30:39.852,pesquisa-diaristas.xlsx
119,13,diarista,2026-03-27 20:35:14.582,pesquisa-diaristas.xlsx
120,14,diarista,2026-03-27 21:02:36.821,pesquisa-diaristas.xlsx
121,15,diarista,2026-03-27 21:05:43.627,pesquisa-diaristas.xlsx
122,16,diarista,2026-03-27 21:06:01.331,pesquisa-diaristas.xlsx
123,17,diarista,2026-03-28 03:41:36.114,pesquisa-diaristas.xlsx
124,18,diarista,2026-03-30 17:19:07.065,pesquisa-diaristas.xlsx
125,19,diarista,2026-03-31 08:01:44.623,pesquisa-diaristas.xlsx
126,20,diarista,2026-03-31 08:33:07.801,pesquisa-diaristas.xlsx
127,21,diarista,2026-04-06 14:23:25.651,pesquisa-diaristas.xlsx
