sk_respondente,sk_pergunta,publico,bloco,pergunta_slug,valor_texto,valor_numerico,carimbo,fonte
80,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 23:07:09.681,pesquisa_primaria
81,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 00:35:02.800,pesquisa_primaria
82,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 07:14:02.312,pesquisa_primaria
83,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-26 07:23:32.605,pesquisa_primaria
84,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 08:27:09.513,pesquisa_primaria
85,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 09:05:18.008,pesquisa_primaria
86,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 09:17:41.568,pesquisa_primaria
87,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-26 09:59:48.158,pesquisa_primaria
88,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 10:06:46.324,pesquisa_primaria
89,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 11:45:11.218,pesquisa_primaria
90,2,contratante,perfil,arranjo_moradia,Moro sozinho(a).,,2026-03-26 11:55:05.102,pesquisa_primaria
91,2,contratante,perfil,arranjo_moradia,Moro sozinho(a).,,2026-03-26 12:11:19.281,pesquisa_primaria
92,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 12:38:34.758,pesquisa_primaria
93,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 12:54:53.135,pesquisa_primaria
94,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 13:06:54.424,pesquisa_primaria
95,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-26 13:53:06.043,pesquisa_primaria
96,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-27 07:26:35.537,pesquisa_primaria
97,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-27 07:33:30.311,pesquisa_primaria
98,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-27 08:33:34.182,pesquisa_primaria
99,2,contratante,perfil,arranjo_moradia,Moro sozinho(a).,,2026-03-27 13:12:56.690,pesquisa_primaria
100,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-27 15:50:37.724,pesquisa_primaria
101,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-27 15:58:33.219,pesquisa_primaria
102,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-27 16:23:54.250,pesquisa_primaria
103,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-27 17:29:04.885,pesquisa_primaria
104,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-27 21:15:29.831,pesquisa_primaria
105,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-29 18:47:48.660,pesquisa_primaria
106,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-30 13:16:11.572,pesquisa_primaria
1,3,contratante,perfil,tamanho_residencia,Mais de 150m²,150.0,2026-03-23 16:36:16.600,pesquisa_primaria
2,3,contratante,perfil,tamanho_residencia,91 a 150m² (Apartamento/Casa grande),91.0,2026-03-23 16:52:14.776,pesquisa_primaria
3,3,contratante,perfil,tamanho_residencia,Mais de 150m²,150.0,2026-03-23 22:22:57.824,pesquisa_primaria
4,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 07:06:47.496,pesquisa_primaria
5,3,contratante,perfil,tamanho_residencia,Mais de 150m²,150.0,2026-03-24 14:12:11.902,pesquisa_primaria
6,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 14:51:16.640,pesquisa_primaria
7,3,contratante,perfil,tamanho_residencia,Mais de 150m²,150.0,2026-03-24 16:08:02.275,pesquisa_primaria
8,3,contratante,perfil,tamanho_residencia,91 a 150m² (Apartamento/Casa grande),91.0,2026-03-24 18:02:41.390,pesquisa_primaria
9,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:03:19.611,pesquisa_primaria
10,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:03:56.180,pesquisa_primaria
11,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:05:29.471,pesquisa_primaria
12,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:06:17.115,pesquisa_primaria
13,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:06:53.372,pesquisa_primaria
14,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:19:46.080,pesquisa_primaria
15,3,contratante,perfil,tamanho_residencia,51 a 90m² (Apartamento/Casa média),51.0,2026-03-24 18:20:34.264,pesquisa_primaria
16,3,contratante,perfil,tamanho_residencia,91 a 150m² (Apartamento/Casa grande),91.0,2026-03-24 18:21:39.067,pesquisa_primaria
17,3,contratante,perfil,tamanho_residencia,Mais de 150m²,150.0,2026-03-24 18:27:27.517,pesquisa_primaria
